vp,timestamp,trial,rt,resp,mean_rt
VP02,20260108_155747,1,1.09349554200003,0,0.701917413400006
VP02,20260108_155747,2,0.361091958000088,1,0.701917413400006
VP02,20260108_155747,3,0.660122666999996,0,0.701917413400006
VP02,20260108_155747,4,0.895443958999977,1,0.701917413400006
VP02,20260108_155747,5,0.710024665999981,1,0.701917413400006
VP02,20260108_155747,6,0.819467750000058,1,0.701917413400006
VP02,20260108_155747,7,0.794424375000062,0,0.701917413400006
VP02,20260108_155747,8,0.584285208999972,0,0.701917413400006
VP02,20260108_155747,9,0.820362584000009,0,0.701917413400006
VP02,20260108_155747,10,0.838142042000072,1,0.701917413400006
VP02,20260108_155747,11,0.700004541999988,0,0.701917413400006
VP02,20260108_155747,12,0.650383667000028,1,0.701917413400006
VP02,20260108_155747,13,0.69199920799997,0,0.701917413400006
VP02,20260108_155747,14,1.03292258399995,0,0.701917413400006
VP02,20260108_155747,15,0.754050000000007,0,0.701917413400006
VP02,20260108_155747,16,0.758382332999986,0,0.701917413400006
VP02,20260108_155747,17,0.619146624999985,0,0.701917413400006
VP02,20260108_155747,18,0.65579224999999,0,0.701917413400006
VP02,20260108_155747,19,0.679232124999999,1,0.701917413400006
VP02,20260108_155747,20,0.727938999999992,0,0.701917413400006
VP02,20260108_155747,21,0.809501208000029,0,0.701917413400006
VP02,20260108_155747,22,0.748659167000028,0,0.701917413400006
VP02,20260108_155747,23,0.694433042000014,0,0.701917413400006
VP02,20260108_155747,24,0.705003166999973,0,0.701917413400006
VP02,20260108_155747,25,0.825703833000034,0,0.701917413400006
VP02,20260108_155747,26,0.66570087499997,0,0.701917413400006
VP02,20260108_155747,27,0.755958667000073,0,0.701917413400006
VP02,20260108_155747,28,0.655022250000002,1,0.701917413400006
VP02,20260108_155747,29,0.635665000000017,0,0.701917413400006
VP02,20260108_155747,30,0.795749208000075,0,0.701917413400006
VP02,20260108_155747,31,0.996473625000021,0,0.701917413400006
VP02,20260108_155747,32,0.571829458000025,0,0.701917413400006
VP02,20260108_155747,33,0.581003541999962,0,0.701917413400006
VP02,20260108_155747,34,0.614262124999982,0,0.701917413400006
VP02,20260108_155747,35,0.655074082999931,0,0.701917413400006
VP02,20260108_155747,36,0.744496874999982,0,0.701917413400006
VP02,20260108_155747,37,0.73552395899992,0,0.701917413400006
VP02,20260108_155747,38,0.447909083000013,0,0.701917413400006
VP02,20260108_155747,39,0.690376582999988,0,0.701917413400006
VP02,20260108_155747,40,0.521740874999978,0,0.701917413400006
VP02,20260108_155747,41,0.634551959000078,0,0.701917413400006
VP02,20260108_155747,42,0.622280416000081,0,0.701917413400006
VP02,20260108_155747,43,0.362021459000061,0,0.701917413400006
VP02,20260108_155747,44,0.605672541999979,0,0.701917413400006
VP02,20260108_155747,45,0.750458499999922,0,0.701917413400006
VP02,20260108_155747,46,0.765054833000022,0,0.701917413400006
VP02,20260108_155747,47,0.806253416999994,0,0.701917413400006
VP02,20260108_155747,48,0.542783500000041,0,0.701917413400006
VP02,20260108_155747,49,0.496520749999945,0,0.701917413400006
VP02,20260108_155747,50,0.813473583000018,0,0.701917413400006
